report_year,state,slide_id,slide_no,source,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,time_of_event,type_of_event,casualty,rainfall_mm
2026,Assam,Newspapers & Media/2025/Assam/261,85.0,Newspapers & Media,Kamrup,Lampi Landslide,Langturi Hills near Boko,,25.76166,91.20884,26-07-2025,-,,2.0,46.91
2026,Assam,ASDMA/2025/Assam/313,86.0,ASDMA,Dima Hasao,Daoban Landslide,Dauban to Patharkot Road,,25.13194,93.15222,14-08-2025,-,,1.0,71.0
2026,Assam,Newspapers & Media/2025/Assam/346,87.0,Newspapers & Media,Nagaon,Lumding Landslide,Lumding-Lanka National Highway,NH 27,25.8273,93.09166,14-09-2025,-,,2.0,33.6
2026,Assam,ASDMA/2025/Assam/350,88.0,ASDMA,Dima Hasao,Koliadisa Landslide,Koliadisa Khejurbond road,,25.37973,93.19382,11-09-2025,-,,1.0,24.0
2026,Assam,Newspapers & Media/2025/Assam/353,89.0,Newspapers & Media,Kamrup Metro,Rupnagar Landslide 2,"Paharia Path, Rupnagar",,26.15786,91.75622,14-09-2025,-,,2.0,88.02
2026,Assam,Newspapers & Media/2025/Assam/356,90.0,Newspapers & Media,Sribhumi,Mogam Landslide,Bogligul Area,,24.84245,92.55412,14-09-2025,-,,2.0,86.43
2026,Assam,Newspapers & Media/2025/Assam/366,91.0,Newspapers & Media,Cachar,Lakhipur Landslide,Jujang hill area,NH 37,24.79598,93.04549,12-10-2025,-,,2.0,34.21
2026,Manipur,Newspapers & Media/2025/Manipur/63,1.0,Newspapers & Media,Tamenglong,Awangkhul Landslide,between Nungkao and New Kaiphundai,NH 37,24.81954,93.55622,31-05-2025,-,2.0,0.0,1.0
2026,Manipur,Newspapers & Media/2025/Manipur/148,2.0,Newspapers & Media,Tamenglong,Awangkhul Landslide,between Nungkao and New Kaiphundai,NH 37,24.81954,93.55622,04-06-2025,-,2.0,0.0,0.0
2026,Manipur,Newspapers & Media/2025/Manipur/252,3.0,Newspapers & Media,Noney,Luangchum Landslide,,NH 37,24.81968,93.55658,16-07-2025,-,2.0,0.0,0.0
2026,Manipur,Newspapers & Media/2025/Manipur/254,4.0,Newspapers & Media,Noney,Irang Landslide,Old Cachar Road,,24.71849,93.50026,18-07-2025,-,2.0,0.0,5.89
2026,Manipur,Newspapers & Media/2025/Manipur/255,5.0,Newspapers & Media,Tamenglong,Oinamlong Landslide,Imphal Jiribam Road Section,NH 37,24.76364,93.25606,18-07-2025,-,2.0,0.0,3.23
2026,Manipur,Newspapers & Media/2025/Manipur/343,6.0,Newspapers & Media,Noney,Awangkhu Landslide,,,24.82595,93.56125,14-09-2025,-,2.0,0.0,150.47
2026,Manipur,Newspapers & Media/2025/Manipur/351,7.0,Newspapers & Media,Kamjong,Louphong Landslide,Louphong Village,,24.82736,94.14948,15-09-2025,-,2.0,0.0,18.43
2026,Manipur,Newspapers & Media/2025/Manipur/352,8.0,Newspapers & Media,Senapati,Khongnem Landslide,Between Senapati and Mao Gate,NH 2,25.35325,94.06428,15-09-2025,-,2.0,0.0,82.9
2026,Manipur,Newspapers & Media/2025/Manipur/156,9.0,Newspapers & Media,Tamenglong,Kaiphundai La ndslide,between Kaiphundai and New Kaiphundai K. Sinam and Sehjang,NH 37,24.79605,93.23299,15-06-2025,-,3.0,0.0,97.42
2026,Manipur,Newspapers & Media/2025/Manipur/20,10.0,Newspapers & Media,Kangpokpi,Nungdolan Landslide,villages near Nungdolan,NH-37,24.79515,93.72353,30-05-2025,-,3.0,0.0,41.89
2026,Manipur,Newspapers & Media/2025/Manipur/4,11.0,Newspapers & Media,Tamenglong,Name Nungdalal Landslide,Nungdalal under Nungba Police Station,Affected NH 37,24.76901,93.31356,15-03-2025,-,1.0,0.0,24.0
2026,Manipur,Newspapers & Media/2025/Manipur/157,12.0,Newspapers & Media,Tengnoupal,Moreh Landslide,Imphal to Moreh on the India–Myanmar,NH 102,24.28426,94.28072,16-06-2025,-,1.0,0.0,87.66
2026,Manipur,Newspapers & Media/2025/Manipur/214,13.0,Newspapers & Media,Noney,Rangkhung Landslide,border between Rongchum and Rangkhung,,24.86288,93.58483,19-06-2025,-,1.0,0.0,17.88
2026,Manipur,Newspapers & Media/2025/Manipur/217,14.0,Newspapers & Media,Tamenglong,Kaiphundai La ndslide 2,locations in Luwangchum and,NH 37,24.79617,93.23306,24-06-2025,-,1.0,0.0,60.33
2026,Manipur,Newspapers & Media/2025/Manipur/320,15.0,Newspapers & Media,Tamenglong,Khongsang Landslide,Ramchung villages Imphal–Jiribam Road,NH 37,24.83812,93.48323,03-09-2025,-,1.0,0.0,26.03
2026,Manipur,Newspapers & Media/2025/Manipur/360,16.0,Newspapers & Media,Senapati,Maram Landslide,Maram-Peren Road,,25.42102,94.0741,17-09-2025,-,1.0,0.0,0.0
2026,Manipur,Newspapers & Media/2025/Manipur/361,17.0,Newspapers & Media,Ukhrul,Ukhrul NH 102A Landslide,Ukhrul–Tolloi–Tadubi Road,NH 102A,25.11157,94.35087,17-09-2025,-,1.0,0.0,0.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/5,1.0,Newspapers & Media,East Jaintia Hills,Sonapur Tunnel Landslide,Near Sonapur Tunnel,NH 6,25.10562,92.36161,18-03-2025,-,1.0,0.0,0.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/10,2.0,Newspapers & Media,East Jaintia Hills,Dona Skur Landslide,Dona Skur along NH 6,NH 6,25.04859,92.40813,11-05-2025,-,3.0,0.0,11.8
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/17,3.0,Newspapers & Media,East Jaintia Hills,Kulinag Landslide Umling (GS,Along NH-6 Kuliang,NH 6,25.08055,92.36236,20-05-2025,-,1.0,0.0,0.749
2026,Meghalaya,Field Survey/2025/Meghalaya/19,4.0,Field Survey,Ri Bhoi,Road) Landslide,"Near Jiva Resort, Ri Bhoi",NH 6,25.9249,91.87609,24-05-2025,-,3.0,0.0,61.34
2026,Meghalaya,Field Survey//2025/Meghalaya/24,5.0,Field Survey,Ri Bhoi,Umiam Landslide 1,Near Umiam Dam,NH 6,25.66,91.9,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/25,6.0,Field Survey,East Khasi Hills,Mawlai Landslide,,NH 6,25.617,91.877,30-05-2025,-,1.0,0.0,24.0
2026,Meghalaya,Field Survey//2025/Meghalaya/26,7.0,Field Survey,Ri Bhoi,Umiam Landslide 2,,NH 6,25.649,91.899,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/27,8.0,Field Survey,Ri Bhoi,Umiam Landslide 3,Near Umiam View Point,NH 6,25.651,91.899,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/28,9.0,Field Survey,Ri Bhoi,Umiam Landslide 4,Near Umiam View Point,NH 6,25.652,91.897,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/29,10.0,Field Survey,Ri Bhoi,Umiam Landslide 5,Near Umiam Lake,NH 6,25.653,91.898,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/30,11.0,Field Survey,Ri Bhoi,Umiam Landslide 6,Near Umiam Dam,NH 6,25.654,91.898,30-05-2025,-,1.0,0.0,227.31
2026,Meghalaya,Field Survey//2025/Meghalaya/31,12.0,Field Survey,Ri Bhoi,Umiam Landslide 7,Near NEPA link Road in GS Road,NH 6,25.67923,91.89988,30-05-2025,-,1.0,0.0,44.0
