incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
310,2025,Nagaland,Wokha,Lakhuti Landslide,Near football ground at Lakhuti Village,,26.2956,94.246652,2024-07-22,34.58,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/136
311,2025,Nagaland,Kohima,Khonoma Landslide,Between Jotsoma and Khonoma,,25.670326,94.04216,2024-08-23,45.29,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/168
312,2025,Nagaland,Kohima,Pezielietsie Colony Landslide,"Pezielietsie Colony in Ward-3 North Block, Kohima",,25.680683,94.103026,2024-07-26,1.29,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/138
313,2025,Nagaland,Wokha,Etsuchuka Colony Landslide,"Etsuchuka Colony, Wokha",,26.098734,94.254992,2024-08-26,3.6,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/169
314,2025,Nagaland,Mokokchung,Mokokchung Landslide,Between MokokchungTu engsang Road,,26.302047,94.586325,2024-08-26,20.23,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/173
315,2025,Nagaland,Phek,Rekizu Landslide,Rekizu Ward,,25.582963,94.298515,2024-05-28,194.3,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Nagaland/25
316,2025,Nagaland,Phek,Kikruma Landslide,Kikruma Village,,25.579584,94.220527,2024-05-28,194.3,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/26
317,2025,Nagaland,Mokokchung,Tongdentsuyo ng Landslide,Tongdentsuyon g ward near butcher shop,NH 2,26.328052,94.524576,2024-06-28,100.43,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/70
318,2025,Nagaland,Zunheboto,DC Hill Landslide,DC Hill West Area,,26.012021,94.52143,2024-06-29,15.99,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/77
319,2025,Nagaland,Wokha,Longsa Landslide,Between Longsa Junction and Dikhu Bridge,NH 202,26.249363,94.537726,2024-08-29,21.63,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/171
320,2021,Sikkim,East Sikkim,Kyonsola_watofalllandsido,Kyonsola waterfall on way to Tsonga,,27.75688,94.728541,2021-03-25,18.0,2.0,0.0,0.65,Online Media,Online Media/2021/Sikkim/1
321,2021,Sikkim,East Sikkim,Tashi Namgyal Secondary School Landslide,=,,27.249272,88.608275,2021-05-09,110.0,1.0,1.0,0.4,Nwspaper,Nwspaper/2021/Sikkim/68
322,2021,Sikkim,,Bhelukhola_andsie,Bhalu Khola,,27.08117,88.484695,2021-05-18,110.0,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Sikkim/60
323,2021,Sikkim,Kalimpong,Moll 2 Landslide,near Mel,,27.06,88.47,2021-07-20,95.82,2.0,0.0,0.65,Newspaper,Newspaper/2021/Sikkim/
324,2021,Sikkim,South Sikkim,Ml_Jorethang_landstide,Between Mell and Jorethang,,27.1136,96.225809,2021-07-20,110.0,2.0,0.0,0.65,Newspaper,Newspaper/2021/Sikkim/
325,2021,Sikkim,South Sikkim,Nell Bazaar Landside,eli Bazaar,,27.090724,88.45686,2021-07-20,110.0,2.0,1.0,0.7,Nwspaper,Nwspaper/2021/Sikkim/55
326,2021,Sikkim,,Mamknola Landslide,Mamkhola,,27.142002,88.531995,2021-07-20,110.0,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Sikkim/56
327,2021,Sikkim,West Sikkim,Sisney Landside,Sisney Petol Pump,,27.146069,88.280811,2021-07-20,110.0,2.0,0.0,0.65,Online Media,Online Media/2021/Sikkim/65
328,2021,Sikkim,South Sikkim,Nel Secondary Schoo! Landslide,Nell Secondary School,,27.030065,88.45744,2021-07-29,110.0,1.0,0.0,0.35,Nwspaper,Nwspaper/2021/Sikkim/54
329,2021,Sikkim,East Sikkim,Seesa Gola Landsiae,Seesa Gola,,27.26815,88.61022,2021-08-01,110.0,1.0,0.0,0.35,Nwspaper,Nwspaper/2021/Sikkim/57
330,2021,Sikkim,East Sikkim,Basilakha_landside,Basiakha,,27.255462,88.597286,2021-08-08,110.0,3.0,0.0,0.85,Online Media,Online Media/2021/Sikkim/62
331,2021,Sikkim,West Sikkim,Jorethang-Legship Landslide,Reshi Bazaar,,27.221268,94.307458,2021-08-27,110.0,3.0,0.0,0.85,Onine Meda,Onine Meda/2021/Sikkim/
332,2021,Sikkim,West Sikkim,Muneew TareybhirLandside,Muneew Taraybhirstetcn,,27.1624,96.152087,2021-08-28,110.0,1.0,0.0,0.35,Newspaper,Newspaper/2021/Sikkim/
333,2021,Sikkim,East Sikkim,Samsing Shant Tum Landshide,Samsing Shant tum,,27.250224,96.614902,2021-08-28,110.0,1.0,0.0,0.35,Newspaper,Newspaper/2021/Sikkim/
334,2021,Sikkim,West Sikkim,Bongten-Changay Landsie,Upper Bongten and Changay,,27.25,88.25,2021-08-29,12.53,3.0,0.0,0.85,Nwspaper,Nwspaper/2021/Sikkim/69
335,2021,Sikkim,East Sikkim,Pani House Landslide,Pani House,,27.2456,94.609499,2021-10-20,19.81,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Sikkim/
336,2021,Sikkim,East Sikkim,East Sikkim Landslide,Seley ward under Tumin Lingee Constituency,,27.286542,94.487805,2023-07-19,14.06,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Sikkim/
337,2021,Sikkim,Kalimpong,Set Jhora Landslide,Setijnora near Kalimpong,,27.06,88.47,2023-07-19,20.42,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Sikkim/64
338,2023,Sikkim,North Sikkim,Lhonak Landslide,Near South Lhonak Lake,--,27.912811,88.18362,2023-10-04,1.66,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2023/Sikkim/79
339,2023,Sikkim,Gangtok,Sokpay Landslide,Sokpay Village,Dikchu-Rakdong Road,27.392355,88.5232,2023-03-26,0.67,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2023/Sikkim/2
340,2023,Sikkim,North Sikkim,Chungthang Landslide,Chungthang_Lachung_Road,Chungthang_Lachung_Road,27.613235,88.657305,2023-05-19,13.1,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/11
341,2023,Sikkim,North Sikkim,Chungthang 2 Landslide,Along Chungthnag Road,NH 10,27.603889,88.64646,2023-06-16,3.22,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/21
342,2023,Sikkim,West Sikkim,Kalej Khola landslide,Lower Sapung area,--,27.26933,88.250366,2023-06-18,66.43,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/25
343,2023,Sikkim,West Sikkim,Dentam Landslide,Dentam Sub Division under Gyalshing,--,27.254354,88.136778,2023-06-18,47.52,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/26
344,2023,Sikkim,West Sikkim,Lower Okhrey Landslide,Sombaria area,--,27.142583,88.103311,2023-06-18,87.18,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/27
345,2023,Sikkim,North Sikkim,Lingzya Busty Landslide,Lingzya Busty of Upper Dzongu,--,27.535576,88.500328,2023-07-12,5.67,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2023/Sikkim/46
346,2023,Sikkim,South Sikkim,Rafung Khola Landslide,Rafung Khola area,--,27.299226,88.390868,2023-07-14,53.43,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/47
347,2023,Sikkim,East Sikkim,9th Mile Landslide,9th Mile area,NH 310,27.378152,88.728199,2023-07-14,14.54,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/48
348,2023,Sikkim,North Sikkim,Theng Landslide,Theng Tunnel area,NH 310A,27.565792,88.649425,2023-07-14,5.53,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/49
349,2023,Sikkim,East Sikkim,32 No. Landslide,"National Highway NH-10, connecting",NH 10,27.259994,88.55059,2023-08-04,1.98,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/67
350,2023,Sikkim,East Sikkim,32 No. Landslide,"National Highway NH-10, connecting",NH 10,27.259936,88.550684,2023-08-24,21.49,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Sikkim/68
351,2023,Sikkim,West Sikkim,Lingzing Landslide,Maneybong Dentam constituency,--,27.278215,88.08848,2023-08-25,4.42,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2023/Sikkim/69
352,2025,Sikkim,Gangtok,Matim Landslide,Maltin and BOP areas,,27.62714,88.67311,2024-06-01,0.54,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/33
353,2025,Sikkim,Gangtok,Tashi Landslide,Gangtok Mangan Road,,27.37194,88.61639,2024-06-01,0.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/34
354,2025,Sikkim,Namchi,Majua Landslide,Yangang area,,27.29403,88.41938,2024-06-10,2.4,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2024/Sikkim/43
355,2025,Sikkim,Gangtok,Shantinagar Landslide,Shantinagar Area in Singtam,NH 10,27.23553,88.50579,2024-06-11,10.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/46
356,2025,Sikkim,Gangtok,Pani House Landslide,Pani House area in Gangtok,,27.32167,88.60993,2024-06-11,13.6,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/47
357,2025,Sikkim,Mangan,Zeema Landslide,Zeema region in North Sikkim,,27.86372,88.54756,2024-06-11,13.6,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/48
358,2025,Sikkim,Gangtok,Makha Landslide,"Near Sisney, close to 10th Mile in Makha",,27.35164,88.32418,2024-07-12,3.81,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Sikkim/123
359,2025,Sikkim,Mangan,Mangan Landslide,Mangan Area,,27.50028,88.53445,2024-06-13,99.0,3.0,6.0,1.0,Newspapers & Media,Newspapers & Media/2024/Sikkim/45
360,2025,Sikkim,Mangan,Pakshep Landslide,Pakshep area in Mangan,,27.50669,88.55658,2024-06-13,99.0,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2024/Sikkim/50
361,2025,Sikkim,Mangan,Sangkalang Landslide,Near Sangkalang Bridge,,27.5086,88.52691,2024-06-13,99.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/51
362,2025,Sikkim,Pakyong,Pakyong DC office Landslide,Near under construction DC office,,27.24534,88.61161,2024-05-17,1.8,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Sikkim/9
363,2025,Sikkim,Gangtok,Balutar Landslide,"NHPC's 510 MW Teesta Stage 5 dam in Balutar, Sikkim",,27.25169,88.45966,2024-08-20,81.15,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Sikkim/162
364,2025,Sikkim,Mangan,Munsi Thang Landslide,Enroute Lachen,,27.82149,88.5491,2024-07-21,0.46,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Sikkim/133
365,2025,Sikkim,Mangan,Toong Landslide,Between Naga and Rel Ward areas,,27.56807,88.65081,2024-07-22,0.38,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/137
366,2025,Sikkim,Gangtok,Lingding Landslide,LingdingSichey Road,,27.32468,88.60395,2024-06-28,11.56,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/74
367,2025,Sikkim,Pakyong,Pakyong Landslide,Near Pakyong Airport,,27.23968,88.59367,2024-08-29,1.64,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Sikkim/172
368,2025,Sikkim,Mangan,Rang Rang Landslide,Near Rang Rang Landslide,,27.47775,88.52716,2024-09-30,5.93,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/179
369,2025,Sikkim,Gangtok,Lower Tintek Landslide,"Marchak, Lower Tintek",,27.37807,88.49725,2024-09-30,0.57,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Sikkim/180
370,2025,Sikkim,Soreng,RibdiBhareng Landslide,Between Ribdi and Bhareng,,27.17605,88.09037,2024-09-30,0.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Sikkim/181
371,2021,Tripura,South,Sarsima Landslide,Sarsima area of Belonia in South Tripura,-,23.2463,91.480725,2021-08-26,78.38,2.0,1.0,0.7,Newspaper,Newspaper/2021/Tripura/70
372,2021,Tripura,South,Jharjhari landslide,Jharjhari Village,-,23.228158,91.494288,2021-08-26,78.38,2.0,0.0,0.65,Online Media,Online Media/2021/Tripura/71
373,2023,Tripura,Khowai,Teliamura Landslide,45 mile area of Atharamura hill range,--,23.837263,91.62872,2023-03-31,30.87,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Tripura/13
374,2025,Tripura,West Tripura,Mungiakami Landslide,Mile 35 in Mungiakami region,,23.878866,91.705846,2024-06-15,0.53,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Tripura/54
375,2025,Tripura,South Tripura,Debipur Landslide,Debipur region,,23.167876,91.516866,2024-08-19,42.19,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2024/Tripura/163
376,2025,Tripura,Khowai,Teliamura Landslide,Teliamura region,,23.839927,91.634953,2024-08-19,46.35,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Tripura/164
377,2025,Tripura,Dhalai,Saikar Landslide,Near Saikar Bazar,,24.109649,91.908101,2024-08-19,48.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Tripura/165
378,2025,Tripura,South Tripura,Gardang Landslide,Gardang Panchayat near Shanti bazar,,23.312969,91.524158,2024-08-22,677.0,2.0,7.0,1.0,Newspapers & Media,Newspapers & Media/2024/Tripura/166
379,2025,Tripura,South Tripura,Nutan Bazar Landslide,Near Nutan bazar water treatment plant,,23.423169,91.755621,2024-08-22,484.05,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Tripura/167
380,2026,Arunachal Pradesh,Dibang Valley,Anini Landslide,"Near Anini, NH 313 KM5 from",NH 313,28.78833,95.90902,2025-02-26,6.16,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/1
381,2026,Arunachal Pradesh,Dibang Valley,Etalin Landslide,Etalin along NH-313,NH 313,28.62887,95.8566,2025-03-04,1.29,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/2
382,2026,Arunachal Pradesh,Dibang Valley,Anini Landslide,"Near Anini, NH 313 Located close to",NH 313,28.78846,95.90884,2025-03-12,2.31,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/3
383,2026,Arunachal Pradesh,Anjaw,Mompani Landslide Gyan Mission,the Indo-China border Near Gyan,NH 113,28.03826,96.43806,2025-04-02,1.6,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/7
384,2026,Arunachal Pradesh,Papum Pare,School Landslide,Mission Orphan School,,27.07651,93.65695,2025-05-30,102.81,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/21
385,2026,Arunachal Pradesh,West Kameng,Jamiri Landslide,"West Kameng, Arunachal Pradesh",NH 13,27.18332,92.59952,2025-05-30,92.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/59
386,2026,Arunachal Pradesh,East Kameng,Bana Landslide,Bana Seppa Road,NH 13,27.30616,92.95388,2025-05-30,35.0,2.0,7.0,1.0,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/65
387,2026,Arunachal Pradesh,Lower Subansiri,Ziro Landslide,Ziro Kamle Road,NH 13,27.62206,93.84096,2025-05-31,3.0,1.0,2.0,0.45,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/118
388,2026,Arunachal Pradesh,Keyi Panyor,Param Putu Landslide,Param Putu Circle,,27.64959,93.87385,2025-06-01,0.0,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/141
389,2026,Arunachal Pradesh,Lower Siang,Siji Landslide,Along Likabali- Basar Road Government,,27.71888,94.70399,2025-06-03,0.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2025/Arunchal Pradesh/147
390,2026,Arunachal Pradesh,Kamle,Raga Landslide,Higher Secondary School in Raga,,27.79837,94.0765,2025-06-15,2.84,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/158
391,2026,Arunachal Pradesh,East Kameng,Kojo Landslide,between Lada and Sachung road connecting,,27.51413,92.80988,2025-06-25,40.2,1.0,1.0,0.4,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/219
392,2026,Arunachal Pradesh,West Kameng,Lumum Landslide,Tippi and Elephant Flat Between Janbo,,27.06653,92.59247,2025-06-29,18.98,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/220
393,2026,Arunachal Pradesh,Upper Siang,Janbo Landslide,and Bomdo Village,,28.77113,94.85587,2025-04-01,0.0,1.0,0.0,0.35,APSAC,APSAC/2025/Arunachal Pradesh/270
394,2026,Arunachal Pradesh,Upper Siang,Mosing Landslide,Mosing Hotel under Megging,,28.80555,94.80139,2025-04-02,0.0,2.0,24.0,1.0,APSAC,APSAC/2025/Arunachal Pradesh/271
395,2026,Arunachal Pradesh,Changlang,Joda Landslide,Circle Jotin Joda under Manmao circle,,27.22884,95.90869,2025-04-14,0.0,2.0,2.0,0.75,APSAC,APSAC/2025/Arunachal Pradesh/272
396,2026,Arunachal Pradesh,Anjaw,Tidding Landslide,Between Tidding to,,27.98791,96.40653,2025-04-23,0.0,2.0,1.0,0.7,APSAC,APSAC/2025/Arunachal Pradesh/273
397,2026,Arunachal Pradesh,Kurung Kumey,Tagum Landslide,Hayuliang Between Chello village &,,27.83265,93.50444,2025-04-23,0.0,2.0,2.0,0.75,APSAC,APSAC/2025/Arunachal Pradesh/274
398,2026,Arunachal Pradesh,Anjaw,Kibithoo Landslide,Tagum Village Between Tezu to Kibithoo,,28.27767,97.01467,2025-04-25,0.0,2.0,2.0,0.75,APSAC,APSAC/2025/Arunachal Pradesh/275
399,2026,Arunachal Pradesh,Kurung Kumey,Parsi Landslide,"Kurung Kumey, Arunachal Pradesh",,27.91638,93.50261,2025-04-28,0.0,2.0,2.0,0.75,APSAC,APSAC/2025/Arunachal Pradesh/276
400,2026,Arunachal Pradesh,Kurung Kumey,Rite Landslide,"Kurung Kumey, Arunachal Pradesh",,27.86772,93.39982,2025-04-29,0.0,2.0,2.0,0.75,APSAC,APSAC/2025/Arunachal Pradesh/277
401,2026,Arunachal Pradesh,Upper Siang,Yingkiong Landslide,Between Yingkiong and,,28.62271,95.04372,2025-04-29,0.0,2.0,1.0,0.7,APSAC,APSAC/2025/Arunachal Pradesh/278
402,2026,Arunachal Pradesh,Shi-Yomi,Mechuka Landslide,Pasighat Tato-Menchuka road,,28.5567,94.20784,2025-08-04,2.0,2.0,2.0,0.75,Newspapers & Media,APSAC/2025/Arunachal Pradesh/279
403,2026,Arunachal Pradesh,Tirap,Lazu Landslide,between Arunachal villages Noglo,,26.88749,95.57986,2025-08-05,0.0,2.0,2.0,0.75,Newspapers & Media,APSAC/2025/Arunachal Pradesh/285
404,2026,Arunachal Pradesh,West Kameng,Padma Landslide,and Lazu Balipara- Charduar-,NH 13,27.40138,92.14558,2025-08-25,8.42,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/316
405,2026,Arunachal Pradesh,Tawang,Jang Landslide,Tawang Road Balipara- Charduar-,NH 13,27.58008,91.97688,2025-09-03,0.0,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2025/Arunachal Pradesh/321
406,2026,Nagaland,Kra Daadi,Dokio Langpo,Tawang Road Palin–Koloriang road,,27.72856,93.63679,2025-09-19,183.88,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2025/Nagaland/363
407,2026,Arunachal Pradesh,Tirap,Landslide Lapnan Landslide,Near Khonsa Town,,26.99465,95.48669,2025-10-01,151.22,2.0,1.0,0.7,Newspapers & Media,Field Information/2025/Arunachal Pradesh/365
408,2026,Assam,Cachar,Rajgobinadapur Landslide,Rajgobinadapur in Dholai block of Cachar district,,24.53369,92.8324,2025-03-31,0.0,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2025/Assam/6
409,2026,Assam,Kamrup Metro,Hilltop Colony Landslide,Maligaon's Hilltop Colony,,26.16025,91.69686,2025-05-20,24.44,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2025/Assam/16
410,2026,Assam,Kamrup Metro,Bonda Landslide,outskirts of Guwahati.,,26.19125,91.82953,2025-05-30,0.0,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/64
411,2026,Assam,Kamrup Metro,Maligaon Landslide,"Kamrup Metro, Assam",,26.16134,91.70529,2025-05-31,0.0,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/119
412,2026,Assam,Kamrup Metro,Datalpara Landslide,"Kamrup Metro, Assam",,26.13267,91.71967,2025-05-31,0.0,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2025/Assam/120
413,2026,Assam,Kamrup Metro,Panikhaiti Landslide,Near rail crossing,,26.20384,91.85836,2025-05-30,16.0,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/121
414,2026,Assam,Cachar,Kanakpur Landslide,"Doloicherra GP, Lakhipur",,24.92072,93.07299,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/142
415,2026,Assam,Hailakandi,Mohanpur Landslide,Bowarthar Region,,24.68874,92.64441,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/143
416,2026,Assam,Karimganj,Sekhikansh Ali Chak Landslide,"Brahmanshasan Pt II, Nilambazar",,24.78095,92.30929,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/144
417,2026,Assam,Dima Hasao,Mupa Landslide,Haflong Revenue Circle,,25.38675,93.11993,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/145
418,2026,Assam,Kamrup Metro,Pachali Landslide,Pachali Colony area of Maligaon,,26.1469,91.68986,2025-06-04,17.6,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2025/Assam/149
419,2026,Assam,Kamrup Metro,Panikhaiti Landslide 2,Near Panikhaiti Police Outpost Bhupen Hazarika,,26.20396,91.85851,2025-05-30,147.14,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/150
420,2026,Assam,Kamrup Metro,Navagraha Landslide,"Path, Navagraha Hills",,26.19515,91.76667,2025-05-31,271.84,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/151
421,2026,Assam,Kamrup Metro,Maligaon Landslide 2,Near Swagat Hospital,,26.16073,91.70498,2025-05-31,271.84,2.0,1.0,0.7,Field Survey,Newspapers & Media/2025/Assam/152
422,2026,Assam,Kamrup Metro,Rupnagar Landslide,"RupNagar Region, Guwahati",,26.15678,91.76096,2025-06-07,0.0,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2025/Assam/154
423,2026,Assam,Sribhumi,Mamadpur Pt-1 Landslide,Nilambazar RC,,24.72,92.5,2025-05-20,121.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/160
424,2026,Assam,Dima Hasao,Haflong Landslide,"Dima Hasao, Assam",,25.17687,93.00324,2025-05-21,18.12,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/161
425,2026,Assam,Kamrup,Koroibari Landslide,North Guwahati RC,,26.23,91.69,2025-05-22,57.84,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/162
426,2026,Assam,Dima Hasao,Khalimdisa Landslide,Maibang to Yabra via Khalimdisa,,25.29,93.14,2025-05-30,24.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/163
427,2026,Assam,Dima Hasao,Dhobiline Landslide,Road Ramkrishna Mission Road,,25.16,93.01,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/164
428,2026,Assam,Dima Hasao,Jatinga Landslide,Haflong Jatinga Road,,25.13,93.02,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/165
429,2026,Assam,Dima Hasao,Songpijang Landslide,Songpijang Tularam Road,,25.17,93.02,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/166
430,2026,Assam,Dima Hasao,Retzawl Landslide,Lumding Silchar road,,25.11,92.99,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/167
431,2026,Assam,Dima Hasao,Natun Basti Landslide,Natun Basti Road,,25.16,93.01,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/168
432,2026,Assam,Dima Hasao,Ramnagar Landslide,Ramnagar N Basti road,,25.17,93.01,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/169
433,2026,Assam,Dima Hasao,Topodisa Landslide,Topodisa Village approach road,,25.18,93.01,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/170
434,2026,Assam,Dima Hasao,Mahadev tilla Landslide,PGHJ Bypass road,,25.17,93.02,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/171
435,2026,Assam,Dima Hasao,Thaijuwari Bazar Landslide,DD road bridge,,25.57,92.97,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/172
436,2026,Assam,Dima Hasao,Boro Haflong Landslide,Public Health Engineering,,25.15,93.03,2025-06-01,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/173
437,2026,Assam,Dima Hasao,New Boro Haflong Landslide,Office vicinity Land slide at New Haflong Rani Colony to CJM,,25.14,93.02,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/174
438,2026,Assam,Dima Hasao,Haflong Landslide 1,Court,,25.17,93.01,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/175
439,2026,Assam,Dima Hasao,Kana Basti Landslide,Kana Basti Road,,25.16,93.01,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/176
440,2026,Assam,Dima Hasao,Natun Basti Area Landslide,Natun Basti Roa,,25.16,93.01,2025-06-02,24.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/177
441,2026,Assam,Dima Hasao,Lower Muolhoi Landslide,PGHJ Bypass Road at Lower,,25.17,93.02,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/178
442,2026,Assam,Dima Hasao,Thaijuwari Bridge Landslide,Muolhoi Village DD Road to Thaijuwari Bridge,,25.57,92.97,2025-06-02,3.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/179
443,2026,Assam,Dima Hasao,Lower Songpijang Area Landslide 1,Approach PGHJ Bypass,,25.17,93.02,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/180
444,2026,Assam,Dima Hasao,Lower Songpijang area Landslide 2,PGHJ Bypass,,25.17,93.02,2025-06-02,0.0,2.0,1.0,0.7,ASDMA,ASDMA/2025/Assam/181
