incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
214,2025,Meghalaya,West Garo Hills,Dopogre Landslide 1,Paikan Tura Dalu Road,NH 217,25.314873,90.200065,2024-06-15,125.69,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2024/Meghalaya/222
215,2025,Meghalaya,West Garo Hills,Dopogre Landslide 2,Paikan Tura Dalu Road,NH 217,25.314952,90.200072,2024-06-15,125.69,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2024/Meghalaya/223
216,2025,Meghalaya,East Khasi Hills,3rd Mile Landslide,Near St Gabriell Primary School,,25.569287,91.856166,2024-05-16,7.69,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/7
217,2025,Meghalaya,East Khasi Hills,Borma Landslide,"Near Borma College, 3rd Mile",,25.568237,91.856614,2024-05-16,7.69,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/8
218,2025,Meghalaya,East Khasi Hills,Shillong Landslide,"Near New Assembly builidng, Meghalaya",,25.568556,91.873806,2024-05-17,97.55,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/10
219,2025,Meghalaya,West Khasi Hills,Markasa Landslide,Markasa village under Mawthadraishan block,,25.52819,91.433141,2024-06-17,312.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/55
220,2025,Meghalaya,East Jaintia Hills,Karkhana Landslide,Karkhana Village,,25.152774,92.220332,2024-06-17,276.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/65
221,2025,Meghalaya,East Jaintia Hills,Kuliang Landslide,Kuliang section of National Highway 06,NH 6,25.080525,92.362123,2024-08-17,35.89,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/159
222,2025,Meghalaya,Ri Bhoi,Maupur Landslide,"Near Merrily Service Station, Ri Bhoi",,26.029622,91.869058,2024-07-18,26.66,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/131
223,2025,Meghalaya,East Khasi Hills,Pomlum Landslide,Pomlum village in Laitlyngkot,,25.518951,91.828582,2024-06-19,349.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/64
224,2025,Meghalaya,East Jaintia Hills,Sonapur Tunnel Landslide,Near Sonapur Tunnel,NH 6,25.106205,92.360977,2024-05-27,227.27,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/17
225,2025,Meghalaya,East Khasi Hills,Weilong Landslide,East Khasi Hills,,25.363389,91.614595,2024-05-28,278.21,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Meghalaya/18
226,2025,Meghalaya,East Khasi Hills,Mawlai Landslide,East Khasi Hills,,25.62836,91.893134,2024-05-28,292.48,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/19
227,2025,Meghalaya,East Khasi Hills,Mawkynroh Landslide,East Khasi Hills,,25.625808,91.902597,2024-05-28,293.35,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/20
228,2025,Meghalaya,East Khasi Hills,Mawphland Landslide,Mawphland Block,,25.453314,91.751767,2024-05-28,302.41,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/21
